[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1115434. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394643. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394644. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Low Level Female-25, Id:44397024. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397025. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397026. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397027. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397028. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397029. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397030. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397031. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397032. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397033. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397034. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397035. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397036. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397037. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397038. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397039. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397040. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397041. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397042. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397043. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397044. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397045. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397046. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397047. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397048. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397049. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397050. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397051. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397052. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397053. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397054. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397055. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397056. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397057. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397058. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:44397059. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:44397060. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397061. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397062. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397063. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397064. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397065. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397066. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397067. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397068. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Jun, Id:1000010720. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000010798. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000051898. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000059739. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1000064485. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:zone1 Human Citizen M, Id:1001482691. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:34. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:35. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1010850. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:1010858. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1031761. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1031801. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1045894. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1045951. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1052604. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1066945. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1067014. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1073590. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1073596. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1094445. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1115382. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1115434. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394643. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394644. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Low Level Female-25, Id:44397024. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397025. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397026. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397027. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397028. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397029. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397030. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397031. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397032. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397033. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397034. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397035. Logic count: 1
[26.02.2026 21:04:23] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:44397036. Logic count: 1
